Score,Tags
12,<readers>
11,<fiction><fantasy><setting><time-depiction>
18,<software><submitting-work>
10,<style><punctuation>
30,<style>
25,<style><fantasy><third-person>
20,<fiction><storyline>
9,<editing><resources><criticism>
11,<habits><tools>
14,<technique><typing>
12,<tools><software><characters><naming>
28,<software><career><creative-writing>
9,<plagiarism><scene>
24,<plot><naming>
15,<psychology-of-writing>
5,<viewpoint><book>
13,<technique><discipline>
13,<style><technique><audiobook>
5,<technique><artwork>
17,<style><myersbriggs>
13,<style><passive-voice>
14,<self-preservation><agent>
11,<fiction>
34,<fantasy><character-development>
17,<style><technique>
14,<style>
17,<style><preparation>
5,<style><perspective>
13,<technique><magazines><inspiration>
70,<style>
17,<short-story><publishing><revision>
18,<technique><character-development><myersbriggs>
16,<creative-writing><psychology-of-writing><motivation>
7,<short-story><resources>
4,<resources>
5,<publishing><book><titles>
8,<career><education>
9,<fiction><technique><tools><organization>
21,<editing><business-writing>
12,<technical-writing><metrics>
23,<tools><organization><notes>
13,<style><wordcount>
20,<style><discipline><vocabulary><exercises>
21,<style><technique><criticism>
4,<submitting-work>
10,<technique><fantasy><exposition>
6,<genre><resources><inspiration><rules>
23,<technique><plot><planning><foreshadowing>
7,<resources><blog>
11,<resources><tools><character-development><software><characters>
10,<fiction><categories><scene>
11,<fiction><wordcount><short-story><publishing>
14,<fiction><publishing><short-story><submitting-work><cover-letter>
42,<publishing><editing><novel>
18,<style>
8,<revision>
10,<novel><structure><3-acts>
4,<career><education>
3,<style>
181,<technique><style><rules>
6,<publishing>
10,<wordcount><children>
25,<technique><publishing><habits><criticism>
49,<planning><world-building><discipline>
4,<publishing>
13,<characters><character-development>
10,<world-building><storyline><fan-fiction>
16,<style><publishing><editing>
13,<resources><collaboration><artwork><comics>
5,<genre><fantasy>
18,<publishing><self-publishing><money>
6,<editing><wordcount>
13,<marketing>
30,<technique><non-fiction><accessibility><technical-writing>
19,<fiction><genre><plot>
12,<fiction><plot><short-story><novel>
45,<publishing><websites><criticism><audience>
9,<fiction><genre><fantasy>
15,<style><non-fiction>
22,<word-choice><profanity>
11,<style><viewpoint><perspective>
8,<humor>
3,<rules>
8,<rules><citations><isbn>
12,<editing><wordcount>
12,<short-story><contests>
7,<publishing><journalism>
13,<publishing><editing><contracts>
13,<publishing><creative-commons>
16,<book-length>
8,<style><poetry><translation><grammar>
8,<style><fiction><novel>
10,<citations><scientific-publishing>
5,<citations>
19,<characters><character-development>
13,<style><prologues>
13,<fiction><viewpoint>
7,<self-publishing><ebook>
14,<plot><inspiration><originality><ideas>
8,<publishing><money><scientific-publishing><legal>
15,<creative-writing>
13,<style>
2,<non-fiction><contests><essay>
5,<technique><plot><originality>
18,<book><reviews>
12,<style><description>
2,<technical-writing><websites>
3,<ebook><electronic-publishing>
11,<copyright><legal><creative-commons>
6,<translation>
29,<fiction><publishing><novel>
11,<money><business-writing>
14,<publishing>
11,<publishing><money>
7,<script><scriptwriting><formatting>
11,<publishing><ebook><contracts>
10,<editing><typing>
35,<typing>
7,<plot><storyline>
4,<publishing><non-fiction><magazines><academic-writing>
5,<publishing><short-story><novel>
10,<career><legal><money>
13,<style><citations><journalism>
7,<technique><language><lyrics>
10,<style>
10,<wordcount><goal>
8,<publishing><magazines>
11,<money><collaboration><preparation><comics>
10,<editing><software><organization><ideas><brainstorming>
9,<technique><resources>
36,<style><technique>
8,<non-fiction><technique>
17,<style><fiction><genre>
6,<money><preparation>
15,<non-fiction><preparation><brainstorming><ideas>
9,<resources>
6,<fiction><non-fiction><grammatical-person><queries>
21,<fiction><technique><character-development><characters>
18,<brainstorming><writers-block><ideas><preparation>
25,<style><creative-writing><description>
17,<legal><software><process>
9,<publishing><money><lyrics><quotes>
7,<openings>
18,<character-development><short-story>
10,<novel><formatting><time-depiction>
13,<style>
8,<resources><style>
8,<punctuation>
37,<fiction><character-development>
5,<fiction><translation><learning>
1,<book-rec>
24,<creative-writing><career>
21,<style><translation>
6,<character-development>
11,<technique><style><creative-writing><description>
6,<submitting-work><blog>
1,<structure><memoir>
9,<fiction>
2,<resources><book>
20,<academic-writing>
6,<style><reviews>
83,<email><letter>
5,<non-fiction><research>
4,<short-story><screenwriting>
3,<business-writing><email>
53,<formatting>
6,<magazines>
23,<editing>
7,<business-writing><technical-writing>
2,<legal>
5,<style><metrics>
18,<publishing><short-story><erotica>
6,<writing-groups><education>
5,<style><resources>
27,<style><structure><punctuation>
14,<brainstorming><humor>
12,<novel><discipline>
4,<publishing>
18,<resources><plot><mystery>
8,<business-writing><marketing>
3,<readers>
11,<style><academic-writing>
4,<non-fiction><style>
15,<publishing><resources><non-fiction><marketing><queries>
7,<fiction><character-development>
4,<typing>
1,<pacing>
20,<editing><beta-readers>
7,<vocabulary>
7,<style><technical-writing><titles><software-documentation><table-of-contents>
7,<technical-writing><blog>
8,<self-publishing><printing>
4,<resources><romance><erotica>
7,<publishing><formatting>
8,<fiction><pacing><openings>
24,<fiction><character-development>
10,<fantasy>
10,<fiction><creative-writing>
2,<editing><technical-writing><research>
11,<storyline><ending>
10,<tools><medium><tablets>
8,<plot>
11,<setting><pacing><theme><archetypes><steampunk>
10,<technique><creative-writing><accessibility>
22,<style>
11,<publishing><agent><screenwriting>
6,<style><non-fiction><technical-writing>
38,<technical-writing><non-fiction><book><writers-block>
5,<resources><tools><book-rec>
9,<screenwriting>
5,<style><humor>
39,<technique><editing>
32,<editing><novel>
20,<technique><editing>
7,<screenwriting><structure>
3,<style>
7,<language><blog>
22,<formatting><translation><multilingual>
3,<style>
7,<conventions>
19,<fiction><novel><tools><plot><planning>
6,<non-fiction><scientific-publishing>
7,<editing>
8,<publishing><self-publishing><copyright>
2,<style><poetry>
6,<style>
32,<plot>
5,<publishing>
12,<style><formatting><dialogue>
7,<agent>
5,<characters>
10,<non-fiction><tools><technical-writing><software><outline>
11,<style><editing><formatting>
3,<style><clarity>
8,<tools><software>
4,<style><citations>
4,<language>
12,<characters><character-development>
3,<technique><software><tools><submitting-work>
14,<style><creative-writing><discipline>
27,<fiction><character-development>
14,<software><mobile>
5,<publishing><ebook>
16,<dialogue>
10,<publishing><non-fiction>
7,<technique><editing>
24,<fiction><technique><characters><first-person>
6,<revision><version-control>
5,<style>
15,<fiction><novel><fantasy><creative-writing>
10,<mobile>
16,<characters><viewpoint>
5,<technical-writing><blog><clarity>
9,<short-story><marketing><sales>
11,<editing>
1,<style><dialogue><formatting>
1,<style>
6,<style><technical-writing>
6,<style>
3,<self-publishing>
2,<text-analysis>
4,<style><first-person>
3,<tools><software><screenwriting>
7,<organization>
13,<fiction><publishing><novel>
1,<creative-writing>
2,<fiction><dialogue><description>
3,<fiction><openings>
5,<description>
3,<style><fiction><viewpoint>
5,<style><fiction><tenses>
10,<formatting><poetry>
2,<essay><description><goal><flow>
4,<style><fiction><tone>
11,<style><planning>
4,<style><fiction>
3,<word-choice><blog><flow>
12,<fiction><plot>
6,<dialogue><thesaurus>
1,<poetry><sex>
9,<non-fiction><technical-writing><getting-started>
9,<editing><tools><software>
9,<non-fiction><technical-writing>
6,<technical-writing>
16,<tools><medium><tablets>
8,<software><text-analysis>
7,<style><technical-writing>
0,<style><technique>
3,<technique>
19,<fiction><viewpoint>
48,<creative-writing><software><notes>
13,<style><technique>
1,<citations>
10,<screenwriting><comics>
11,<agent><queries>
41,<writers-block>
27,<fiction><copyright><legal>
8,<publishing><non-fiction>
12,<fiction><technique><novel><book><research>
18,<authorship><editing>
13,<openings>
12,<novel><structure><turning-point><exposition>
6,<novel><structure><turning-point>
7,<style><novel><quotes>
13,<fiction><technique><novel><genre><research>
7,<fiction><characters><character-development>
4,<non-fiction><word-choice><essay><blog><flow>
22,<style><structure><conventions>
21,<submitting-work><editing>
10,<style>
8,<tools><writing-instruments>
18,<notes>
13,<publishing><marketing><reviews>
6,<young-adult><romance>
3,<creative-writing><word-choice>
5,<structure><outline>
20,<technique><editing><revision>
6,<style><structure><storyline>
5,<publishing><editing><non-fiction>
2,<flow>
1,<tools><typing>
1,<style>
12,<writers-block>
11,<style><technique><creative-writing>
10,<software><tools>
14,<wordcount><money><time-management>
7,<non-fiction><essay><word-choice>
4,<poetry>
5,<editing><structure>
18,<fiction><technique>
9,<non-fiction><passive-voice>
4,<script><ending>
17,<fiction><publishing><novel><agent>
1,<style><research>
6,<letter><career><feedback><resume><cover-letter>
5,<publishing><flash-fiction>
7,<technique><resources><tools>
3,<essay><mla>
12,<formatting><book-length>
4,<resources>
7,<resources><tools><software>
2,<email>
3,<technique>
8,<technique><editing><plot><organization><discipline>
6,<viewpoint>
3,<business-writing><email>
9,<publishing>
10,<formatting><business-writing>
7,<formatting>
9,<style><formatting><websites><resume>
3,<translation><inspiration><playwriting><plagiarism>
23,<tools><software><world-building>
15,<style><word-choice><essay><grammar>
9,<novel><criticism>
1,<style><word-choice><business-writing><resume>
0,<fiction><business-writing><editing>
6,<technique><style><creative-writing>
6,<fiction><dialogue>
4,<lyrics><shared>
11,<non-fiction><technical-writing>
9,<science-fiction><naming><world-building>
2,<essay><organization><clarity>
4,<style>
2,<style>
9,<book><footnotes>
4,<reviews>
5,<novel><formatting>
1,<creative-writing>
5,<characters><word-choice>
0,<word-choice>
5,<fiction><formatting><organization>
12,<editing>
7,<fiction><suspense>
8,<editing><freelance>
6,<fiction><symbolism>
11,<footnotes>
4,<creative-writing><fiction><readers><novella>
11,<non-fiction><legal>
4,<software><version-control><latex>
32,<style>
11,<process><psychology-of-writing><motivation><habits>
5,<creative-writing>
5,<academic-writing><citations>
15,<style><editing><resources>
9,<creative-writing>
7,<legal><self-publishing>
8,<fiction><creative-writing><description>
6,<fiction><viewpoint>
11,<fiction><novel><artwork>
7,<novel><creative-writing>
-2,<creative-writing>
3,<reviews>
2,<style>
5,<technical-writing><non-fiction>
2,<career>
6,<style>
6,<non-fiction><technical-writing><structure><essay>
6,<business-writing><titles>
6,<non-fiction><style><organization>
3,<non-fiction><first-person><readers><academic-writing>
12,<style><dialogue>
0,<tools><software>
6,<resources><technical-writing>
22,<fiction><technique><style><fantasy><science-fiction>
5,<inspiration><plagiarism>
10,<structure><mystery>
0,<creative-writing>
4,<style>
3,<word-choice><clarity>
3,<resources><dictionary>
1,<software>
2,<academic-writing><quotes><international>
10,<word-choice><letter>
6,<screenwriting>
5,<character-development>
27,<first-person><gender>
7,<resources><preparation>
2,<citations><essay><mla>
1,<citations>
4,<marketing>
1,<word-choice><criticism>
1,<word-choice><non-fiction><criticism>
1,<fiction><novel>
2,<journalism><table-of-contents><pages>
3,<translation>
4,<creative-writing>
2,<style><technical-writing><language>
6,<technique><resources>
6,<publishing>
15,<technical-writing><software><latex>
18,<tools><handwriting>
4,<book>
6,<science-fiction>
1,<email>
1,<style><editing>
9,<publishing>
10,<technique><creative-writing>
7,<fiction><character-development><description>
2,<technical-writing><software><description><clarity>
7,<citations><scientific-publishing>
11,<fiction><technique>
25,<fiction><plot><antagonist>
2,<technical-writing>
3,<technical-writing>
8,<science-fiction><brainstorming><world-building>
9,<style><publishing>
3,<fiction><flash-fiction>
8,<fiction><technique><brainstorming><description>
6,<genre><pseudonym>
4,<editing>
13,<character-development>
2,<formatting><essay>
90,<technical-writing><gender>
9,<characters><structure>
1,<business-writing>
2,<terminology>
0,<style>
8,<blog>
4,<fiction><grammatical-person><third-person>
9,<style>
11,<fantasy><translation><dialogue><science-fiction><constructed-language>
40,<style><email>
3,<publishing><series>
3,<style><journalism>
2,<style><word-choice>
1,<resources><citations>
2,<character-development>
3,<novel><character-development>
3,<characters><structure>
0,<editing><grammar>
7,<editing><revision><exposition>
5,<publishing>
3,<technical-writing><style>
5,<research><naming>
8,<copyright><science-fiction>
3,<formatting><medium><humor>
16,<novel><wordcount>
11,<plot><world-building><setting><constructed-language>
8,<naming>
18,<authorship><pseudonym>
3,<creative-commons>
4,<fiction><legal><ethics>
1,<technique>
2,<tools>
1,<punctuation><clarity>
2,<book><titles>
-2,<resources><research>
2,<word-choice>
23,<style><formatting>
22,<style><dialogue>
8,<publishing><novel><ebook><electronic-publishing>
10,<publishing>
1,<creative-commons>
20,<style>
11,<creative-writing><publishing><novel><education>
2,<email>
3,<websites>
5,<style><formatting><blog>
3,<citations><mla>
3,<style><quotes>
1,<publishing><fantasy>
4,<characters>
4,<style><fiction><viewpoint>
13,<publishing><novel><fantasy>
4,<novel><fantasy>
14,<novel><formatting>
2,<editing>
6,<non-fiction><blog><magazines>
34,<technique>
9,<fiction><tenses>
0,<discipline><exercises>
2,<structure><non-fiction><science>
4,<fiction><description>
3,<self-publishing><printing><isbn>
15,<fiction><characters><world-building>
2,<email>
7,<screenwriting>
2,<fiction><symbolism>
5,<copyright><translation>
10,<screenwriting><scriptwriting>
4,<fiction><novel><formatting><multilingual>
8,<fiction><editing><novel><formatting>
4,<style><citations><vancouver-system>
1,<style><citations>
11,<fiction><fantasy><genre>
12,<editing>
9,<fiction><fantasy>
11,<publishing><novel><ebook>
5,<fiction><dialogue>
3,<publishing>
6,<formatting><ending>
1,<clarity>
3,<citations><vancouver-system>
2,<style><tenses>
2,<tools><citations>
4,<science-fiction><terminology>
6,<style><citations><quotes><footnotes>
1,<business-writing>
5,<style>
3,<structure><essay>
13,<formatting><self-publishing><ebook>
5,<non-fiction><academic-writing>
6,<formatting>
4,<editing><technical-writing><marketing>
1,<style><word-choice><email>
9,<resources><beta-readers>
14,<citations><research>
4,<style><academic-writing><non-fiction><acronyms>
4,<fiction>
10,<publishing><self-publishing><ebook><electronic-publishing>
4,<style><viewpoint>
8,<editing>
6,<formatting>
6,<publishing><self-publishing><marketing><children>
2,<publishing><submitting-work><children><artwork>
3,<publishing>
14,<academic-writing><citations><footnotes>
4,<non-fiction><wordcount><magazines>
2,<software><websites>
6,<screenwriting>
8,<technical-writing><career>
0,<latex>
7,<citations><academic-writing><mla>
7,<editing><book>
7,<book><setting><scene>
9,<fantasy><science-fiction><queries>
3,<fiction><self-publishing>
3,<publishing><editing><software><pages>
12,<fiction><creative-writing><science-fiction>
3,<characters><viewpoint>
0,<book><goal>
2,<book><notes>
6,<characters><gender>
3,<self-publishing><community>
2,<technical-writing><clarity>
1,<fiction><short-story><magazines>
4,<characters><character-development>
13,<characters><fantasy><ideas>
7,<money><ebook><marketing>
5,<fiction><novel><flow>
12,<fiction><career><time-management>
1,<style><marketing><blog>
10,<non-fiction>
3,<technical-writing>
3,<technique><essay>
5,<non-fiction><mla><biography><citations>
4,<business-writing><websites><freelance>
16,<publishing><self-publishing>
9,<fiction><publishing><novel><legal><contracts>
2,<publishing>
2,<beta-readers><freelance>
10,<novel>
4,<citations><essay>
13,<style><fiction><description>
3,<style>
12,<formatting><academic-writing><citations>
1,<book><business-writing>
1,<career><degree><mfa><jobs>
2,<technical-writing><graphics>
1,<academic-writing>
52,<style><fiction><cliches>
22,<self-publishing>
3,<titles><academic-writing>
1,<career><mfa>
8,<novel><agent>
4,<publishing><business-writing>
7,<style><tone>
6,<word-choice><dictionary><thesaurus>
5,<tone><punctuation>
4,<resources><letter>
2,<word-choice>
17,<fantasy><structure><plot>
8,<business-writing>
3,<resources><email>
8,<business-writing><websites><freelance>
4,<publishing>
6,<dialogue>
4,<antagonist>
15,<style>
6,<essay><tenses>
2,<software>
9,<publishing><legal>
12,<editing><blog>
5,<technical-writing><software><tools><maintenance><graphics>
17,<characters><character-development>
5,<publishing><book><money><marketing>
4,<style><characters><first-person>
15,<word-choice>
4,<publishing><printing><print-on-demand>
3,<style><fiction><non-fiction><tone><fan-fiction>
3,<style><collaboration>
0,<description>
3,<description><setting>
10,<dialogue><setting>
13,<planning><nanowrimo>
2,<script><copywriting>
9,<novel><humor>
4,<publishing><technical-writing><wordcount><revision><scientific-publishing>
1,<technical-writing><clarity>
3,<fiction><characters>
3,<characters>
5,<publishing><tools><websites>
0,<reviews>
7,<fiction><novel><structure>
4,<poetry>
8,<fiction><novel><wordcount>
4,<technical-writing><word-choice><clarity>
2,<word-choice>
2,<business-writing><letter><resume>
5,<copyright><lyrics>
7,<tools>
6,<fiction><publishing>
7,<technical-writing><business-writing>
18,<fiction><novel>
9,<plot><naming><copyright><storyline>
10,<publishing><short-story><titles>
1,<publishing><business-writing><marketing>
9,<style><technical-writing><academic-writing><terminology>
10,<novel><creative-writing><dialogue><exercises>
6,<style><essay>
5,<fantasy><book><writers-block>
5,<resources><fantasy>
4,<editing><software><tools>
3,<technical-writing><blog>
7,<style>
7,<non-fiction><book><wordcount>
28,<novel><editing><first-draft>
1,<word-choice>
5,<novel><marketing><titles>
2,<style><business-writing>
12,<fiction><novel><editing><book>
17,<technique><creative-writing><terminology>
2,<editing><business-writing>
1,<business-writing><email>
10,<fantasy><character-development>
3,<fantasy><character-development>
2,<structure>
7,<editing>
11,<citations><science-fiction><copyright>
5,<technique>
3,<career><education>
6,<word-choice>
4,<novel><creative-writing><structure><viewpoint>
6,<editing>
5,<scene><technique><process>
7,<novel><plot>
17,<software>
6,<style><collaboration><authorship>
2,<style><citations>
6,<characters><fantasy><character-development>
2,<novel><plot><screenwriting><storyline><readers>
10,<fiction><editing><book-length><first-draft>
10,<characters><naming>
7,<style><fiction>
10,<novel><plot><fantasy><series>
12,<nanowrimo><process>
6,<fantasy><terminology><vocabulary>
5,<typing><handwriting>
9,<publishing><novel><fantasy><plot><marketing>
8,<novel><planning><nanowrimo>
4,<book><publishing><poetry>
1,<dialogue>
3,<characters><fantasy><plot><organization><brainstorming>
2,<software><tools><business-writing>
10,<book><copyright><artwork>
6,<fiction><process>
6,<fiction><publishing><novel><fantasy><wordcount>
26,<software><tools><ebook>
6,<inspiration><writers-block>
8,<formatting><ebook><poetry>
15,<fiction><self-publishing><pseudonym>
2,<essay><outline>
0,<character-development><short-story>
3,<publishing><tools><self-publishing>
6,<plot><structure><mystery>
3,<fiction><tone>
0,<resume>
6,<formatting><short-story>
4,<character-development>
0,<style><resources>
1,<career><preparation>
7,<fiction><plot><structure>
11,<characters><first-person><gender>
1,<publishing><book><poetry>
4,<software><formatting><ebook>
3,<queries>
5,<fiction><tenses><flashback>
8,<publishing><marketing><blog>
5,<mystery>
4,<non-fiction><essay><tone>
8,<style><science-fiction>
18,<creative-writing><language><constructed-language>
2,<style><formatting><email>
8,<publishing><short-story>
0,<typing>
5,<formatting><self-publishing>
14,<character-development><dialogue><young-adult>
5,<novel>
4,<style>
3,<style><dialogue>
4,<style><lyrics><conventions>
1,<technical-writing><organization>
1,<resume>
4,<fiction><fantasy><tenses>
0,<technical-writing><business-writing>
3,<publishing><non-fiction>
1,<academic-writing><third-person><scientific-publishing><passive-voice>
3,<citations>
5,<fiction><fantasy><genre>
5,<science-fiction><time-depiction>
-1,<essay><academic-writing>
5,<websites><marketing>
1,<essay><mla>
1,<legal>
2,<style><fiction><technical-writing><creative-writing><fantasy>
7,<fiction><book-rec>
2,<citations><mla>
2,<marketing>
2,<style><word-choice><essay><conventions>
0,<memoir><synopsis>
2,<citations><footnotes>
2,<business-writing><pseudonym><self-preservation>
1,<essay><clarity><flow><atmosphere>
17,<style>
5,<translation><copyright>
3,<fiction><science-fiction><openings>
3,<wordcount><blog>
2,<non-fiction>
10,<legal><copyright><academic-writing>
2,<writers-block>
4,<style><creative-writing>
0,<essay>
3,<self-publishing><pseudonym>
20,<editing><software><tools>
5,<technical-writing><academic-writing><science>
3,<word-choice>
3,<poetry>
1,<essay><quotes>
3,<essay>
1,<style>
1,<word-choice>
3,<style><dictionary><cliches>
-2,<academic-writing>
-1,<academic-writing>
0,<style>
9,<publishing><book><copyright>
7,<self-publishing><ebook><copyright>
2,<technical-writing><citations>
1,<structure><essay><clarity>
3,<resources><research><dictionary>
3,<perspective>
27,<style><titles>
11,<characters><plot>
1,<citations><scientific-publishing>
1,<essay><mla>
2,<formatting><typing>
1,<software><tools><brainstorming>
0,<citations><mla>
1,<copyright><legal>
4,<proofreading>
4,<software><tools><translation>
16,<style><word-choice><dialogue><gender>
1,<fiction><science-fiction><openings><suspense>
8,<style>
4,<resources><citations>
0,<style>
5,<style><fiction><technique><scene>
11,<fiction><novel><resources><creative-writing><preparation>
1,<fiction><technique><resources>
4,<style><fiction><science-fiction>
10,<fiction><plot><science-fiction>
1,<fiction><genre>
2,<fiction><science-fiction>
8,<style><fiction><technique>
10,<style><technique><characters><dialogue>
6,<software><formatting><revision>
1,<quotes>
5,<technical-writing><exercises>
4,<publishing><marketing><ebook><creative-commons>
3,<dialogue>
5,<plot><character-development><research>
1,<non-fiction><quotes>
2,<creative-writing><vocabulary>
1,<technical-writing><business-writing>
3,<word-choice>
3,<novel><creative-writing><getting-started>
11,<academic-writing>
1,<creative-writing><email><getting-started>
4,<technique><structure><character-development>
12,<fiction><novel><plot>
5,<publishing><plot><agent><queries><synopsis>
11,<fiction><formatting><dialogue>
11,<formatting><dialogue><multilingual>
3,<style><technical-writing><formatting><translation><footnotes>
2,<style><technical-writing><formatting><citations>
7,<technique><technical-writing><organization>
5,<business-writing><resume>
4,<business-writing><resume><cover-letter>
3,<collaboration><process>
5,<software><tools><non-fiction>
3,<word-choice>
1,<resources><science-fiction><research>
5,<publishing><poetry>
15,<description><atmosphere>
2,<citations>
20,<style><fiction><gender><ambiguity>
11,<editing>
8,<formatting><ebook>
2,<editing><grammar>
8,<fiction><genre><science-fiction>
5,<editing><tools>
1,<style><technical-writing>
12,<self-publishing><ebook>
6,<self-publishing><ebook>
1,<ebook>
3,<copyright>
3,<latex>
6,<isbn>
2,<planning><process><psychology-of-writing><preparation>
2,<style><tone>
12,<plot><structure>
14,<reviews><feedback>
13,<technical-writing><legal>
11,<technical-writing><collaboration><process>
1,<style>
5,<description><exercises><setting><habits>
9,<agent><collaboration>
16,<editing><collaboration><planning>
3,<style><poetry><exercises>
9,<publishing><self-publishing><ebook><kindle>
10,<publishing><self-publishing>
7,<copyright><legal><collaboration>
8,<publishing><legal><collaboration><contracts>
15,<fiction><creative-writing><criticism><feedback>
20,<publishing><blog>
11,<character-development>
11,<collaboration><organization>
5,<characters><collaboration><exercises>
19,<editing><software><tools><scrivener>
3,<publishing><self-publishing>
13,<short-story><ebook><marketing>
3,<word-choice>
0,<fiction><poetry><career>
6,<novel><short-story>
7,<character-development>
15,<publishing><self-publishing><kindle><getting-started>
5,<technique><structure>
5,<short-story><wordcount>
3,<formatting><kindle>
4,<style><business-writing>
7,<fantasy><short-story><marketing>
12,<fiction><character-development><planning><psychology-of-writing><time-management>
16,<fiction><creative-writing><fantasy><plot><originality>
5,<discipline><habits>
3,<style><fiction><technique><editing>
4,<habits><handwriting>
7,<technical-writing><citations><mla>
0,<essay><wordcount>
3,<citations><quotes><mla>
2,<word-choice><biography>
4,<publishing>
7,<resources><research>
1,<fiction><openings><atmosphere>
9,<creative-writing><writers-block>
11,<technical-writing><indexing>
22,<technical-writing><software-documentation><examples>
2,<scriptwriting>
6,<fantasy><plot>
6,<technique><character-development>
7,<fantasy><plot><structure>
6,<fiction><character-development>
2,<book><academic-writing>
7,<style><technical-writing><scientific-publishing><science>
5,<resume>
1,<style><creative-writing><fantasy>
3,<naming><readers><ambiguity>
2,<essay><mla>
3,<style>
5,<non-fiction><legal>
3,<dialogue><gender>
6,<word-choice>
4,<style><technical-writing><academic-writing><tenses>
5,<technical-writing><translation><process>
6,<style><technical-writing><software-documentation><user-guides>
5,<technical-writing><organization><translation>
3,<self-publishing><legal>
3,<technical-writing><blog><business-writing>
2,<self-publishing>
6,<publishing><essay>
3,<style><resources><viewpoint>
5,<style><technique>
2,<children>
4,<formatting><book>
-1,<word-choice><style>
10,<fiction><characters>
4,<punctuation>
6,<legal>
3,<character-development>
2,<ebook><copyright>
4,<style><academic-writing><education><numerals>
3,<structure>
7,<fiction><third-person><perspective>
6,<publishing><self-publishing><printing>
1,<publishing><screenwriting><jobs>
5,<structure>
3,<ebook><printing>
2,<software><poetry>
4,<screenwriting><pacing>
6,<screenwriting>
7,<resources><citations><research><academic-writing>
6,<technical-writing><marketing>
-1,<style>
4,<style><word-choice>
7,<technical-writing><education>
1,<science-fiction><description><clarity><setting>
9,<legal><biography>
9,<style><technical-writing>
7,<novel><organization><outline>
2,<citations>
2,<technical-writing><word-choice>
3,<citations><copyright><websites>
5,<academic-writing><reviews>
0,<style><technical-writing><resources>
3,<editing><clarity><biography>
2,<software><research><academic-writing>
5,<style><essay><academic-writing>
0,<style>
0,<titles><citations>
2,<business-writing><email>
1,<fiction><openings>
37,<editing><technique><proofreading>
2,<punctuation>
0,<dialogue><ending>
4,<technical-writing><organization>
13,<style>
5,<marketing><email><punctuation>
19,<publishing><agent><queries>
11,<style><academic-writing><journalism>
6,<fiction><characters><word-choice>
1,<formatting><quotes>
1,<description><setting>
3,<fiction><structure><flow>
1,<titles><punctuation>
21,<characters><character-development>
3,<fiction><characters><legal>
2,<word-choice><titles>
1,<technique><naming>
8,<blog>
13,<technique><time-depiction>
22,<style><capitalization>
4,<style><editing><academic-writing><apa>
6,<plot><world-building>
5,<organization>
4,<children><contests>
5,<resources><software><word-choice><dictionary>
10,<character-development><romance>
12,<style><publishing><notes>
11,<publishing><money>
3,<characters>
32,<publishing><book><marketing><money><printing>
10,<ebook>
14,<titles>
9,<poetry>
5,<publishing>
9,<figures-of-speech>
4,<terminology>
1,<fiction>
5,<career>
4,<self-publishing>
7,<short-story><contests><ethics>
0,<word-choice><academic-writing>
10,<editing><self-publishing>
4,<children><contests>
7,<fiction>
5,<dialogue><planning>
4,<structure><science-fiction>
2,<style><fiction><short-story>
3,<poetry><metaphor>
8,<poetry><metaphor>
8,<publishing><submitting-work><cover-letter>
5,<tools><screenwriting>
